Store Name,Shop ID,Store ID,Order Count,Count of Misc payment,Sales (excl. tax),Tax on sales,Sales (incl. tax),Refunds (excl tax),Tax on Refunds,Refunds (incl tax),Price adjustments (excl. tax),Tax on price adjustments,Adjustments (including tax),Promotions on items,Tax on Promotion on items,Promotions on delivery,Tax on Promotions on Delivery,Marketing adjustment,Bag Fee,Marketplace fee,Tax on Marketplace fee,Delivery Network Fee,Tax on delivery network fee,Order Processing Fee,Total Sales after Adjustments (incl tax),Other payments,Marketplace Facilitator Tax,Backup Withholding Tax,Total payout ,Payout Date,Payout reference ID,folder_name,Tax on Sales,Order Error Adjustments,Tax on Order Error Adjustments,Order Error Adjustments (incl. tax),Tax on Price Adjustments,Price Adjustments (incl. tax),Offers on items (incl. tax),Tax On Offers on items,Delivery Offer Redemptions (incl. tax),Tax On Delivery Offer Redemptions,Marketing Adjustment,Marketplace Fee,Tax on Marketplace Fee,Tax on Delivery Network Fee,Capital payments
McDonald's (4783 Liberty Ave),3d2d8bd9-5a32-543b-a0f7-836f141dd27d,23727,1,0,31.22,0.21,31.43,0.0,0.0,0.0,0,0.0,0.0,-6.19,0.0,0.0,0.0,0.0,0,-3.5,0.0,0,0.0,0,25.24,0.0,-0.21,0.0,21.53,6/24/25,4XSZK45XFJW5IKB,QSR Executive Enterprises-June23-June29,,,,,,,,,,,,,,,
McDonald's® (117th St & Detroit),491f182f-a4e2-4f38-a00b-1aee28d778da,1568,269,7,6202.74,40.1,6242.84,-76.07,-0.62,-76.69,0,0.0,0.0,-737.86,0.0,0.0,0.0,0.0,0,-845.36,0.0,0,0.0,0,5504.98,-20.56,-39.48,0.0,4522.89,6/24/25,CSS20M9NNF2Y1K1,QSR Executive Enterprises-June23-June29,,,,,,,,,,,,,,,
McDonald's® (1582 MENTOR AVE),bb8cdad5-292d-45b0-8d99-161e2c07ef8d,10705,26,0,645.15,1.69,646.84,-4.24,0.0,-4.24,0,0.0,0.0,-88.27,0.0,0.0,0.0,0.0,0,-83.65,0.0,0,0.0,0,558.57,0.0,-1.69,0.0,468.99,6/24/25,5JXLM0L1A3TJPKH,QSR Executive Enterprises-June23-June29,,,,,,,,,,,,,,,
McDonald's® (1725 HENDERSON DRIVE),87d18902-06ce-4939-882a-370dc8ce8dec,24316,68,0,1790.14,7.68,1797.82,-38.62,-0.21,-38.83,0,0.0,0.0,-174.36,0.0,0.0,0.0,0.0,0,-249.96,0.0,0,0.0,0,1623.46,0.0,-7.47,-315.36,994.65,6/23/25,9EGQ3LJ05SK7SMZ,QSR Executive Enterprises-June23-June29,,,,,,,,,,,,,,,
McDonald's® (2102 RIVER AVE),e970bbdf-f08d-4973-beb7-e5705b9958f8,6678,9,0,342.97,2.66,345.63,0.0,0.0,0.0,0,0.0,0.0,-35.56,0.0,0.0,0.0,0.0,0,-46.29,0.0,0,0.0,0,310.07,0.0,-2.66,0.0,261.12,6/23/25,CIDSAZHV017F107,QSR Executive Enterprises-June23-June29,,,,,,,,,,,,,,,
McDonald's® (2118 Cleveland Rd W),71c6a949-9742-4f39-b06e-718610aca49a,6106,1,0,37.67,0.0,37.67,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-6.03,0.0,0,0.0,0,37.67,0.0,0.0,0.0,31.64,6/23/25,GSIHY216I1WSSKU,QSR Executive Enterprises-June23-June29,,,,,,,,,,,,,,,
McDonald's® (249 Benedict Ave),e491d6e9-a063-4943-81ed-5db185c208ec,3401,1,0,34.98,0.0,34.98,0.0,0.0,0.0,0,0.0,0.0,-7.15,0.0,0.0,0.0,0.0,0,-3.9,0.0,0,0.0,0,27.83,0.0,0.0,0.0,23.93,6/24/25,5FJBLVICUJ3HTSX,QSR Executive Enterprises-June23-June29,,,,,,,,,,,,,,,
McDonald's® (3221 OBERLIN AVE),ac90e816-e98a-4464-ba44-06592b167a86,16255,47,0,1204.02,6.71,1210.73,-36.97,0.0,-36.97,0,0.0,0.0,-78.29,0.0,0.0,0.0,0.0,0,-172.85,0.0,0,0.0,0,1132.44,0.0,-6.71,0.0,915.91,6/24/25,A8CWFJ2QLTSK9Z8,QSR Executive Enterprises-June23-June29,,,,,,,,,,,,,,,
McDonald's® (32528 LORAIN RD),bde8a002-39d6-4f1e-b33f-1d64a3fa32ca,16875,94,0,2391.27,5.6,2396.87,2.72,0.0,2.72,0,0.0,0.0,-184.43,0.0,0.0,0.0,0.0,0,-338.48,0.0,0,0.0,0,2212.44,0.0,-5.6,0.0,1871.08,6/24/25,1TDRM9T17MW9E7Q,QSR Executive Enterprises-June23-June29,,,,,,,,,,,,,,,
McDonald's® (35900 CENTER RIDGE RD),4213c40d-2b4e-40a2-8be5-f3ae4b6ca02f,34162,45,0,1068.6,4.81,1073.41,13.58,0.0,13.58,0,0.0,0.0,-127.71,0.0,0.0,0.0,0.0,0,-141.92,0.0,0,0.0,0,945.7,0.0,-4.81,0.0,812.55,6/23/25,BXF0HNOOK68FSM0,QSR Executive Enterprises-June23-June29,,,,,,,,,,,,,,,
McDonald's® (4204 MILAN ROAD),eee7f2d1-f345-4d2b-b24e-08abe3c24f17,32777,7,0,159.05,0.89,159.94,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-24.62,0.0,0,0.0,0,159.94,0.0,-0.89,0.0,134.43,6/23/25,4M3OCIQGW5P954B,QSR Executive Enterprises-June23-June29,,,,,,,,,,,,,,,
McDonald's® (908 W PERKINS),ea956b12-1aa6-4350-8dfd-1b5d61c10b23,12283,12,0,304.22,1.7,305.92,0.0,0.0,0.0,0,0.0,0.0,-13.98,0.0,0.0,0.0,0.0,0,-45.03,0.0,0,0.0,0,291.94,0.0,-1.7,0.0,245.21,6/23/25,F0G6F9402LS4ZXN,QSR Executive Enterprises-June23-June29,,,,,,,,,,,,,,,
McDonald's® (95 RICHMOND ST),914b0747-950e-436c-b45a-135451e7944a,1807,78,0,2033.42,9.8,2043.22,-61.1,-1.15,-62.25,0,0.0,0.0,-213.38,0.0,0.0,0.0,0.0,0,-276.38,0.0,0,0.0,0,1829.84,0.0,-8.65,0.0,1482.56,6/24/25,GNRY4R71VGO323K,QSR Executive Enterprises-June23-June29,,,,,,,,,,,,,,,
McDonald's® (Lorain & 226th St),18963aec-6a43-4d25-b62c-a6aaf5644d5f,174,69,0,1701.09,10.98,1712.07,-1.05,0.0,-1.05,0,0.0,0.0,-194.81,0.0,0.0,0.0,0.0,0,-233.83,0.0,0,0.0,0,1517.26,0.0,-10.98,0.0,1271.4,6/23/25,7BKCNX85C7ECE8Z,QSR Executive Enterprises-June23-June29,,,,,,,,,,,,,,,
McDonald's® (Lorain & Dover Center),67ae0730-77ff-491f-a800-6535242e3a09,817,121,0,2831.02,15.24,2846.26,26.44,0.0,26.44,0,0.0,0.0,-356.69,0.0,0.0,0.0,0.0,0,-380.25,0.0,0,0.0,0,2489.57,0.0,-15.24,0.0,2120.52,6/24/25,Z5GZPB6T82C5CB5,QSR Executive Enterprises-June23-June29,,,,,,,,,,,,,,,
McDonald's® (Puritas & 143rd St),a198a1e2-b045-4037-996c-f6d56c9b46c9,11366,74,0,1870.0,7.88,1877.88,-6.19,0.0,-6.19,0,0.0,0.0,-196.42,0.0,0.0,0.0,0.0,0,-259.96,0.0,0,0.0,0,1681.46,0.0,-7.88,0.0,1407.43,6/23/25,UVKJ4DHOL3JSQZT,QSR Executive Enterprises-June23-June29,,,,,,,,,,,,,,,
McDonald's® (117th St & Detroit),491f182f-a4e2-4f38-a00b-1aee28d778da,1568,260,9,5754.61,33.91,5788.52,-48.5,-0.18,-48.68,0,0.0,0.0,-632.21,0.0,0.0,0.0,0.0,0,-793.79,0.0,0,0.0,0,5156.31,-19.77,-33.73,0.0,4302.55,6/30/25,FVAVMNLYFHW0ME9,QSR Executive Enterprises-June30-July6,,,,,,,,,,,,,,,
McDonald's® (1582 MENTOR AVE),bb8cdad5-292d-45b0-8d99-161e2c07ef8d,10705,24,2,538.88,3.2,542.08,0.0,0.0,0.0,0,0.0,0.0,-68.29,0.0,0.0,0.0,0.0,0,-72.29,0.0,0,0.0,0,473.79,0.0,-3.2,0.0,404.24,6/30/25,JLZY5HDCUTXCQXV,QSR Executive Enterprises-June30-July6,,,,,,,,,,,,,,,
McDonald's® (1725 HENDERSON DRIVE),87d18902-06ce-4939-882a-370dc8ce8dec,24316,66,2,1730.29,10.22,1740.51,0.49,0.0,0.49,0,0.0,0.0,-137.18,0.0,0.0,0.0,0.0,0,-246.87,0.0,0,0.0,0,1603.33,0.0,-10.22,-317.96,1006.81,6/30/25,LQ0D7N30YGI28G7,QSR Executive Enterprises-June30-July6,,,,,,,,,,,,,,,
McDonald's® (2102 RIVER AVE),e970bbdf-f08d-4973-beb7-e5705b9958f8,6678,19,1,549.66,3.18,552.84,0.0,0.0,0.0,0,0.0,0.0,-49.83,0.0,0.0,0.0,0.0,0,-78.33,0.0,0,0.0,0,503.01,0.0,-3.18,0.0,422.84,7/1/25,3BQ82YBNJFFC5GV,QSR Executive Enterprises-June30-July6,,,,,,,,,,,,,,,
McDonald's® (249 Benedict Ave),e491d6e9-a063-4943-81ed-5db185c208ec,3401,3,0,42.95,0.22,43.17,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-6.33,0.0,0,0.0,0,43.17,0.0,-0.22,0.0,36.62,6/30/25,3J9AHIVVIZPUU1W,QSR Executive Enterprises-June30-July6,,,,,,,,,,,,,,,
McDonald's® (3221 OBERLIN AVE),ac90e816-e98a-4464-ba44-06592b167a86,16255,45,2,1227.33,5.79,1233.12,-47.12,-0.82,-47.94,0,0.0,0.0,-102.73,0.0,0.0,0.0,0.0,0,-170.41,0.0,0,0.0,0,1130.39,0.0,-4.97,0.0,915.69,6/30/25,G127JAI1WMP5YTV,QSR Executive Enterprises-June30-July6,,,,,,,,,,,,,,,
McDonald's® (32528 LORAIN RD),bde8a002-39d6-4f1e-b33f-1d64a3fa32ca,16875,96,2,2493.69,9.71,2503.4,-22.52,-0.37,-22.89,0,0.0,0.0,-204.67,0.0,0.0,0.0,0.0,0,-357.25,0.0,0,0.0,0,2298.73,0.0,-9.34,0.0,1930.42,6/30/25,43LN3XL9UJ15E5B,QSR Executive Enterprises-June30-July6,,,,,,,,,,,,,,,
McDonald's® (35900 CENTER RIDGE RD),4213c40d-2b4e-40a2-8be5-f3ae4b6ca02f,34162,36,1,934.08,4.41,938.49,0.0,0.0,0.0,0,0.0,0.0,-83.78,0.0,0.0,0.0,0.0,0,-128.32,0.0,0,0.0,0,854.71,-17.09,-4.41,0.0,704.89,6/30/25,F2MCKF5NLRORKV4,QSR Executive Enterprises-June30-July6,,,,,,,,,,,,,,,
McDonald's® (412 Main St),9376c1e8-6220-4e4b-b294-87880ece685c,19593,3,0,69.04,0.84,69.88,0.0,0.0,0.0,0,0.0,0.0,-12.58,0.0,0.0,0.0,0.0,0,-9.04,0.0,0,0.0,0,57.3,0.0,-0.84,0.0,47.42,6/30/25,W02NJF77LBZ8I36,QSR Executive Enterprises-June30-July6,,,,,,,,,,,,,,,
McDonald's® (4204 MILAN ROAD),eee7f2d1-f345-4d2b-b24e-08abe3c24f17,32777,2,1,14.98,0.0,14.98,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-2.18,0.0,0,0.0,0,14.98,0.0,0.0,0.0,13.47,6/30/25,2HARJBD9V95PO8V,QSR Executive Enterprises-June30-July6,,,,,,,,,,,,,,,
McDonald's® (908 W PERKINS),ea956b12-1aa6-4350-8dfd-1b5d61c10b23,12283,10,0,225.14,1.12,226.26,0.0,0.0,0.0,0,0.0,0.0,-17.97,0.0,0.0,0.0,0.0,0,-32.14,0.0,0,0.0,0,208.29,0.0,-1.12,0.0,175.03,6/30/25,CYM6OIXLGQUWP4X,QSR Executive Enterprises-June30-July6,,,,,,,,,,,,,,,
McDonald's® (95 RICHMOND ST),914b0747-950e-436c-b45a-135451e7944a,1807,73,2,1818.87,11.7,1830.57,-9.68,0.0,-9.68,0,0.0,0.0,-182.1,0.0,0.0,0.0,0.0,0,-249.31,0.0,0,0.0,0,1648.47,0.0,-11.7,0.0,1388.93,6/30/25,56P60DANWNWJ9XT,QSR Executive Enterprises-June30-July6,,,,,,,,,,,,,,,
McDonald's® (Lorain & 226th St),18963aec-6a43-4d25-b62c-a6aaf5644d5f,174,70,2,1977.77,6.67,1984.44,-18.16,0.0,-18.16,0,0.0,0.0,-225.62,0.0,0.0,0.0,0.0,0,-268.73,0.0,0,0.0,0,1758.82,0.0,-6.67,0.0,1487.04,7/1/25,7J94SME76TD2FND,QSR Executive Enterprises-June30-July6,,,,,,,,,,,,,,,
McDonald's® (Lorain & Dover Center),67ae0730-77ff-491f-a800-6535242e3a09,817,117,2,2777.8,12.36,2790.16,-50.17,-0.4,-50.57,0,0.0,0.0,-310.08,0.0,0.0,0.0,0.0,0,-379.15,0.0,0,0.0,0,2480.08,0.0,-11.96,0.0,2063.59,6/30/25,TJ92JJE61U1JA9V,QSR Executive Enterprises-June30-July6,,,,,,,,,,,,,,,
McDonald's® (Puritas & 143rd St),a198a1e2-b045-4037-996c-f6d56c9b46c9,11366,65,2,1537.54,7.99,1545.53,-10.04,0.0,-10.04,0,0.0,0.0,-172.42,0.0,0.0,0.0,0.0,0,-212.24,0.0,0,0.0,0,1373.11,0.0,-7.99,0.0,1152.01,6/30/25,UXQRW6OUJ6W4WCT,QSR Executive Enterprises-June30-July6,,,,,,,,,,,,,,,
McDonald's® (95 RICHMOND ST),914b0747-950e-436c-b45a-135451e7944a,1807,98,0,2538.51,,2555.13,,,,0,,,,,,,,0,,,0,,0,2179.1,0.0,-16.62,0.0,1799.44,7/28/25,63HUVC2338IA6GV,QSR Executive Enterprises-July28-Aug3,16.62,-32.7,0.0,-32.7,0.0,0.0,-376.03,0.0,0.0,0.0,0.0,-330.34,0.0,0.0,
McDonald's® (2102 RIVER AVE),e970bbdf-f08d-4973-beb7-e5705b9958f8,6678,17,0,610.23,,613.34,,,,0,,,,,,,,0,,,0,,0,544.13,0.0,-3.11,0.0,457.27,7/28/25,FK1SFM4LVNHRWWU,QSR Executive Enterprises-July28-Aug3,3.11,0.0,0.0,0.0,0.0,0.0,-69.21,0.0,0.0,0.0,0.0,-83.75,0.0,0.0,
McDonald's® (3221 OBERLIN AVE),ac90e816-e98a-4464-ba44-06592b167a86,16255,70,0,1857.66,,1867.53,,,,0,,,,,,,,0,,,0,,0,1663.42,0.0,-9.87,0.0,1335.43,7/28/25,SGC3PUM7RTJXE48,QSR Executive Enterprises-July28-Aug3,9.87,-61.69,0.0,-61.69,0.0,0.0,-204.11,0.0,0.0,0.0,0.0,-256.43,0.0,0.0,
McDonald's® (35900 CENTER RIDGE RD),4213c40d-2b4e-40a2-8be5-f3ae4b6ca02f,34162,45,0,1179.4,,1184.62,,,,0,,,,,,,,0,,,0,,0,1027.83,0.0,-5.22,0.0,865.28,7/28/25,VVKWAT88P4TT9RS,QSR Executive Enterprises-July28-Aug3,5.22,0.0,0.0,0.0,0.0,0.0,-156.79,0.0,0.0,0.0,0.0,-157.33,0.0,0.0,
McDonald's® (1725 HENDERSON DRIVE),87d18902-06ce-4939-882a-370dc8ce8dec,24316,66,0,1709.62,,1717.34,,,,0,,,,,,,,0,,,0,,0,1573.46,0.0,-7.72,-307.92,975.03,7/28/25,3Z556LDK3SZ5RL0,QSR Executive Enterprises-July28-Aug3,7.72,-39.08,0.0,-39.08,0.0,0.0,-143.88,0.0,0.0,0.0,0.0,-243.71,0.0,0.0,
McDonald's® (412 Main St),9376c1e8-6220-4e4b-b294-87880ece685c,19593,8,0,186.38,,189.41,,,,0,,,,,,,,0,,,0,,0,164.14,0.0,-3.03,0.0,108.26,7/28/25,5LBSXP5A5AHCNJM,QSR Executive Enterprises-July28-Aug3,3.03,-27.78,0.0,-27.78,0.0,0.0,-25.27,0.0,0.0,0.0,0.0,-25.07,0.0,0.0,
McDonald's® (908 W PERKINS),ea956b12-1aa6-4350-8dfd-1b5d61c10b23,12283,19,1,527.49,,530.54,,,,0,,,,,,,,0,,,0,,0,459.06,-22.67,-3.05,0.0,357.44,7/28/25,5LI6QCTQCVIB72D,QSR Executive Enterprises-July28-Aug3,3.05,-5.19,0.0,-5.19,0.0,0.0,-71.48,0.0,0.0,0.0,0.0,-70.71,0.0,0.0,
McDonald's® (117th St & Detroit),491f182f-a4e2-4f38-a00b-1aee28d778da,1568,331,8,7631.9,,7670.48,,,,0,,,,,,,,0,,,0,,0,6228.35,-17.21,-37.92,0.0,5059.39,7/28/25,7KZM2LAR5RZIA31,QSR Executive Enterprises-July28-Aug3,38.58,-153.22,-0.66,-153.88,0.0,0.0,-1442.13,0.0,0.0,0.0,0.0,-959.95,0.0,0.0,
McDonald's® (32528 LORAIN RD),bde8a002-39d6-4f1e-b33f-1d64a3fa32ca,16875,110,0,2997.06,,3010.36,,,,0,,,,,,,,0,,,0,,0,2684.31,0.0,-13.3,0.0,2234.65,7/29/25,C9QV05D90C64GME,QSR Executive Enterprises-July28-Aug3,13.3,-24.0,0.0,-24.0,0.0,0.0,-326.05,0.0,0.0,0.0,0.0,-412.36,0.0,0.0,
McDonald's® (2118 Cleveland Rd W),71c6a949-9742-4f39-b06e-718610aca49a,6106,1,0,20.38,,20.84,,,,0,,,,,,,,0,,,0,,0,20.84,0.0,-0.46,0.0,17.12,7/28/25,8OPNB8OFA0QM7LB,QSR Executive Enterprises-July28-Aug3,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.26,0.0,0.0,
McDonald's® (Puritas & 143rd St),a198a1e2-b045-4037-996c-f6d56c9b46c9,11366,76,0,2002.46,,2009.33,,,,0,,,,,,,,0,,,0,,0,1770.37,0.0,-6.87,0.0,1483.64,7/28/25,V0SV1LDYXSKN416,QSR Executive Enterprises-July28-Aug3,6.87,-11.08,0.0,-11.08,0.0,0.0,-238.96,0.0,0.0,0.0,0.0,-268.78,0.0,0.0,
McDonald's® (1582 MENTOR AVE),bb8cdad5-292d-45b0-8d99-161e2c07ef8d,10705,21,0,631.34,,632.57,,,,0,,,,,,,,0,,,0,,0,559.2,0.0,-1.23,0.0,474.29,7/28/25,OKJDIOE533ABH0B,QSR Executive Enterprises-July28-Aug3,1.23,0.0,0.0,0.0,0.0,0.0,-73.37,0.0,0.0,0.0,0.0,-83.68,0.0,0.0,
McDonald's® (Lorain & 226th St),18963aec-6a43-4d25-b62c-a6aaf5644d5f,174,85,0,2045.13,,2055.83,,,,0,,,,,,,,0,,,0,,0,1696.07,0.0,-10.7,0.0,1322.26,7/28/25,CVRWUFRTUPR9BBM,QSR Executive Enterprises-July28-Aug3,10.7,-103.36,0.0,-103.36,0.0,0.0,-359.76,0.0,0.0,0.0,0.0,-259.75,0.0,0.0,
McDonald's® (249 Benedict Ave),e491d6e9-a063-4943-81ed-5db185c208ec,3401,1,0,14.35,,14.35,,,,0,,,,,,,,0,,,0,,0,14.35,0.0,0.0,0.0,12.05,7/28/25,DFATN9XS9KOCDRI,QSR Executive Enterprises-July28-Aug3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3,0.0,0.0,
