Campaign UUID,Campaign Name,Store name,Store address,Status,Start Date,End date,Timezone,Audience targeted,Budget,Budget currency,Budget unit,Ad sales (USD),Ad spend (USD),ROAS,Average cost per click (USD),Average cost per order (USD),Impressions,Clicks,Orders,Click through rate,Click to order rate,Average order value (USD)
240a84ac-8a29-4a49-8480-0d49d5ac8608,Ad Campaign - 1,McDonald's® (117th St & Detroit),"1430 W 117th St, Lakewood, OH 44107, USA, Lakewood, US",ACTIVE,10/18/2021,Ongoing,America/New_York,NEW,20.00,USD,WEEKLY,818.82,20.35,40.24,0.15,0.55,1543,132,37,0.09,0.28,22.13
0b8bd27b-bb7d-4587-9f65-a744324ccbe3,Ad Campaign - 1,McDonald's (265 S Main St),"265 S Main St, Oberlin, US",PAUSED,10/18/2021,Ongoing,America/New_York,NEW,10.00,USD,WEEKLY,0.00,0.00,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00
7bc241db-e554-4d71-9ab2-7812a8b2ea1b,Ad Campaign - 1,McDonald's® (1582 MENTOR AVE),"1582 MENTOR AVE, PAINESVILLE, US",PAUSED,10/18/2021,Ongoing,America/New_York,NEW,10.00,USD,WEEKLY,0.00,0.00,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00
3fb3c271-bc44-482d-92bd-888ccc04ffc3,Ad Campaign - 1,McDonald's® (1725 HENDERSON DRIVE),"1725 HENDERSON DRIVE, LORAIN, US",PAUSED,10/18/2021,Ongoing,America/New_York,NEW,10.00,USD,WEEKLY,0.00,0.00,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00
c8ff69d5-938c-4696-adb4-1f9df98ca200,Ad Campaign - 1,McDonald's® (2102 RIVER AVE),"2102 RIVER AVE, SANDUSKY, US",PAUSED,10/18/2021,Ongoing,America/New_York,NEW,10.00,USD,WEEKLY,0.00,0.00,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00
4abb515b-ca78-4c3c-bdf6-b63c09df5aae,Ad Campaign - 1,McDonald's® (2118 Cleveland Rd W),"2118 Cleveland Rd W, Huron, US",PAUSED,10/18/2021,Ongoing,America/New_York,NEW,10.00,USD,WEEKLY,0.00,0.00,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00
6d3966f7-b636-42ef-a56c-840ec13cd284,Ad Campaign - 1,McDonald's® (3221 OBERLIN AVE),"3221 OBERLIN AVE, LORAIN, US",PAUSED,10/18/2021,Ongoing,America/New_York,NEW,10.00,USD,WEEKLY,0.00,0.00,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00
da762874-2de4-4ca8-a948-18242a6ef300,Ad Campaign - 1,McDonald's® (32528 LORAIN RD),"32528 Lorain Rd, North Ridgeville, US",PAUSED,10/18/2021,Ongoing,America/New_York,NEW,10.00,USD,WEEKLY,0.00,0.00,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00
b28a0d1a-23d3-4389-b6b3-4203f2ec5746,Ad Campaign - 1,McDonald's® (35900 CENTER RIDGE RD),"35900 Center Ridge Rd, Ridgeville, US",PAUSED,10/18/2021,Ongoing,America/New_York,NEW,10.00,USD,WEEKLY,0.00,0.00,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00
633b6d6b-8766-4a74-a31b-5d261a8c8733,Ad Campaign - 1,McDonald's® (412 Main St),"412 Main St, Grafton, US",PAUSED,10/18/2021,Ongoing,America/New_York,NEW,10.00,USD,WEEKLY,0.00,0.00,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00
3f335be2-ddaf-4765-afaa-1e533c8df9d7,Ad Campaign - 1,McDonald's® (4204 MILAN ROAD),"4204 MILAN ROAD, SANDUSKY, US",PAUSED,10/18/2021,Ongoing,America/New_York,NEW,10.00,USD,WEEKLY,0.00,0.00,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00
ca871c07-656d-4763-bbb8-e0004253ac01,Ad Campaign - 1,McDonald's® (908 W PERKINS),"908 W PERKINS, SANDUSKY, US",PAUSED,10/18/2021,Ongoing,America/New_York,NEW,10.00,USD,WEEKLY,0.00,0.00,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00
d9650523-a660-4844-af3a-b00a16749d93,Ad Campaign - 1,McDonald's® (95 RICHMOND ST),"95 RICHMOND ST, PAINESVILLE, US",PAUSED,10/18/2021,Ongoing,America/New_York,NEW,10.00,USD,WEEKLY,0.00,0.00,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00
7ad96b2e-382d-402c-bd4a-c1b94b4f601b,Ad Campaign - 1,McDonald's® (Lorain & 226th St),"22535 Lorain Rd, Fairview Park, OH 44126, USA, Fairview Park, US",PAUSED,10/18/2021,Ongoing,America/New_York,NEW,10.00,USD,WEEKLY,0.00,0.00,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00
65342438-7bf3-45b4-94b4-26ab863adb7d,Ad Campaign - 1,McDonald's® (Lorain & Dover Center),"27322 Lorain Rd, North Olmsted, OH 44070, USA, North Olmsted, US",PAUSED,10/18/2021,Ongoing,America/New_York,NEW,10.00,USD,WEEKLY,0.00,0.00,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00
04c77c4e-489e-49fe-8e0a-6a5f235793cb,Ad Campaign - 1,McDonald's® (Puritas & 143rd St),"14235 Puritas Ave, Cleveland, OH 44135, USA, Cleveland, US",PAUSED,10/18/2021,Ongoing,America/New_York,NEW,10.00,USD,WEEKLY,0.00,0.00,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00